Order_ID,Order_Date,Region,Customer_Segment,Product_Category,Sales_Amount,Quantity,Discount_Percent,Profit
ORD-1001,2025-01-05,North,Corporate,Electronics,1250.50,5,10%,250.10
ORD-1002,2025-01-06,South,Consumer,Furniture,450.00,2,0%,90.00
ORD-1003,2025-01-08,East,Home Office,Technology,3400.00,10,15%,680.00
ORD-1004,2025-01-10,West,Consumer,Office Supplies,85.20,4,5%,17.04
ORD-1005,2025-01-12,North,Corporate,Furniture,890.00,3,10%,178.00
ORD-1006,2025-01-15,Central,Consumer,Electronics,2100.00,8,12%,420.00
ORD-1007,2025-01-18,East,Corporate,Technology,1800.00,4,8%,360.00
ORD-1008,2025-01-20,West,Home Office,Office Supplies,120.50,6,0%,30.12
ORD-1009,2025-01-22,South,Consumer,Electronics,1550.00,5,10%,310.00
ORD-1010,2025-01-25,North,Corporate,Technology,4200.00,12,20%,840.00
ORD-1011,2025-02-01,Central,Consumer,Furniture,620.00,3,5%,124.00
ORD-1012,2025-02-04,East,Home Office,Electronics,980.00,4,10%,196.00
ORD-1013,2025-02-08,West,Corporate,Office Supplies,210.00,7,0%,52.50
ORD-1014,2025-02-12,South,Consumer,Technology,2750.00,9,15%,550.00
ORD-1015,2025-02-15,North,Corporate,Furniture,1150.00,4,10%,230.00
ORD-1016,2025-02-18,Central,Home Office,Electronics,3100.00,11,18%,620.00
ORD-1017,2025-02-22,East,Consumer,Office Supplies,175.40,5,5%,35.08
ORD-1018,2025-02-25,West,Corporate,Furniture,920.00,3,10%,184.00
ORD-1019,2025-03-02,South,Home Office,Technology,3900.00,10,15%,780.00
ORD-1020,2025-03-05,North,Consumer,Electronics,1680.00,6,10%,336.00
ORD-1021,2025-03-10,Central,Corporate,Office Supplies,95.00,3,0%,23.75
ORD-1022,2025-03-15,East,Consumer,Furniture,780.00,4,8%,156.00
ORD-1023,2025-03-18,West,Home Office,Technology,2950.00,8,12%,590.00
ORD-1024,2025-03-22,South,Corporate,Electronics,2400.00,7,10%,480.00
ORD-1025,2025-03-28,North,Consumer,Furniture,1320.00,5,15%,264.00
